Sample_Name	Individual	Pair	Sex	Environment	Lat	Long	Sample_Name_Notes
342	342	12	2	2	40.55406597	-89.48221204	NA
450	450	15	2	1	41.31732501	-86.746256	NA
503	503	2	2	2	41.06360497	-83.78943597	NA
556	556	9	0	2	38.63920603	-91.51230698	NA
4801	4801	9	1	2	38.63920603	-91.51230698	NA
4802	4802	12	2	2	40.55406597	-89.48221204	NA
4803	4803	4	2	1	39.393248	-88.163216	NA
4806	4806	8	2	1	38.65643696	-90.73639403	NA
4809	4809	12	2	1	40.57469501	-89.65567603	NA
4810	4810	5	1	1	38.732444	-89.277403	NA
4813	4813	17	2	1	38.927036	-95.241462	NA
4814	4814	10	2	2	39.463458	-91.98047097	NA
4819	4819	13	1	1	40.87326997	-88.62446599	NA
4820	4820	11	1	2	40.17519498	-90.26269396	NA
4821	4821	9	2	1	38.66783702	-91.55559699	NA
4822	4822	5	1	1	38.732444	-89.277403	NA
4826	4826	6	1	1	38.699066	-90.068054	NA
4828	4828	16	1	2	38.988681	-95.215847	NA
4830	4830	10	2	1	39.46407096	-91.68243396	NA
4832	4832	14	1	1	41.15132703	-87.89857297	NA
4841	4841	13	1	1	40.87326997	-88.62446599	NA
4846	4846	17	1	1	38.927036	-95.241462	NA
4850	4850	2	2	2	41.06360497	-83.78943597	NA
4854	4854	4	2	2	39.305104	-88.139778	NA
4860	4860	12	1	1	40.57469501	-89.65567603	NA
4861	4861	4	2	2	39.305104	-88.139778	NA
4862	4862	17	2	2	38.782048	-95.171401	NA
4866	4866	6	2	1	38.699066	-90.068054	NA
4869	4869	16	2	1	39.001464	-95.239938	NA
4873	4873	14	2	2	41.16467102	-87.81988903	NA
4875	4875	1	2	2	41.37218297	-83.79889	NA
4876	4876	1	2	1	41.55656599	-83.66247503	NA
4882	4882	10	1	1	39.46407096	-91.68243396	NA
4886	4886	5	1	2	38.755485	-89.272475	NA
4887	4887	13	2	2	40.82949003	-88.66930699	NA
4888	4888	1	2	1	41.55656599	-83.66247503	NA
4891	4891	15	1	1	41.31732501	-86.746256	NA
4895	4895	17	2	2	38.782048	-95.171401	NA
4899	4899	5	1	2	38.755485	-89.272475	NA
4902	4902	9	1	1	38.66783702	-91.55559699	NA
4907	4907	4	2	2	39.305104	-88.139778	NA
4909	4909	14	1	2	41.16467102	-87.81988903	NA
4912	4912	4	2	1	39.393248	-88.163216	NA
4917	4917	1	1	2	41.37218297	-83.79889	NA
4919	4919	3	2	1	39.05562996	-84.89810603	NA
4921	4921	17	2	1	38.927036	-95.241462	NA
4925	4925	6	2	1	38.699066	-90.068054	NA
4928	4928	5	2	2	38.755485	-89.272475	NA
4933	4933	16	1	1	39.001464	-95.239938	NA
4935	4935	6	1	2	38.670222	-90.065665	NA
4939	4939	9	1	1	38.66783702	-91.55559699	NA
4944	4944	11	2	1	40.12487104	-90.36914203	NA
4948	4948	9	1	2	38.63920603	-91.51230698	NA
4955	4955	1	2	2	41.37218297	-83.79889	NA
4958	4958	5	2	1	38.732444	-89.277403	NA
4960	4960	15	2	1	41.31732501	-86.746256	NA
4964	4964	3	1	1	39.05562996	-84.89810603	NA
4965	4965	12	2	2	40.55406597	-89.48221204	NA
4966	4966	4	2	2	39.305104	-88.139778	NA
4968	4968	16	2	1	39.001464	-95.239938	NA
4977	4977	13	2	1	40.87326997	-88.62446599	NA
4979	4979	4	1	1	39.393248	-88.163216	NA
4981	4981	9	2	2	38.63920603	-91.51230698	NA
4982	4982	15	1	2	41.35604002	-86.73699299	NA
4984	4984	5	1	1	38.732444	-89.277403	NA
4989	4989	14	1	2	41.16467102	-87.81988903	NA
5002	5002	2	2	1	41.03727398	-83.81345096	NA
5006	5006	14	2	1	41.15132703	-87.89857297	NA
5008	5008	5	1	2	38.755485	-89.272475	NA
5015	5015	1	1	2	41.37218297	-83.79889	NA
5018	5018	2	1	2	41.06360497	-83.78943597	NA
5031	5031	7	1	1	38.558781	-90.447501	NA
5032	5032	1	2	2	41.37218297	-83.79889	NA
5040	5040	1	2	1	41.55656599	-83.66247503	NA
5053	5053	16	1	1	39.001464	-95.239938	NA
5061	5061	10	1	2	39.463458	-91.98047097	NA
5066	5066	1	1	1	41.55656599	-83.66247503	NA
5073	5073	16	2	2	38.988681	-95.215847	NA
5079	5079	4	1	1	39.393248	-88.163216	NA
5084	5084	7	2	2	38.66890403	-90.63545798	NA
5086	5086	1	1	2	41.37218297	-83.79889	NA
5089	5089	8	2	1	38.65643696	-90.73639403	NA
5097	5097	5	2	2	38.755485	-89.272475	NA
5098	5098	14	2	2	41.16467102	-87.81988903	NA
5099	5099	6	1	2	38.670222	-90.065665	NA
5100	5100	17	2	1	38.927036	-95.241462	NA
5102	5102	16	2	2	38.988681	-95.215847	NA
5105	5105	17	1	1	38.927036	-95.241462	NA
5110	5110	3	2	1	39.05562996	-84.89810603	NA
5115	5115	3	1	1	39.05562996	-84.89810603	NA
5116	5116	5	2	1	38.732444	-89.277403	NA
5117	5117	14	1	2	41.16467102	-87.81988903	NA
5122	5122	2	2	2	41.06360497	-83.78943597	NA
5125	5125	14	2	1	41.15132703	-87.89857297	NA
5134	5134	3	2	2	39.01893298	-84.92674196	NA
5136	5136	3	2	2	39.01893298	-84.92674196	NA
5137	5137	13	2	1	40.87326997	-88.62446599	NA
5138	5138	1	2	1	41.55656599	-83.66247503	NA
5142	5142	15	2	2	41.35604002	-86.73699299	NA
5144	5144	3	1	2	39.01893298	-84.92674196	NA
5145	5145	11	2	2	40.17519498	-90.26269396	NA
5147	5147	5	2	2	38.755485	-89.272475	NA
5150	5150	4	1	2	39.305104	-88.139778	NA
5151	5151	5	2	1	38.732444	-89.277403	NA
5156	5156	14	1	1	41.15132703	-87.89857297	NA
5157	5157	8	1	1	38.65643696	-90.73639403	NA
5161	5161	7	1	1	38.558781	-90.447501	NA
5163	5163	17	2	1	38.927036	-95.241462	NA
5165	5165	5	1	2	38.755485	-89.272475	NA
5169	5169	1	1	1	41.55656599	-83.66247503	NA
5170	5170	8	2	2	38.6589929	-90.7440433	NA
5171	5171	16	1	1	39.001464	-95.239938	NA
5176	5176	7	1	2	38.66890403	-90.63545798	NA
5183	5183	15	2	1	41.31732501	-86.746256	NA
5189	5189	14	1	1	41.15132703	-87.89857297	NA
5197	5197	6	2	2	38.670222	-90.065665	NA
5202	5202	4	2	1	39.393248	-88.163216	NA
5203	5203	17	1	2	38.782048	-95.171401	NA
5204	5204	17	2	1	38.927036	-95.241462	NA
5205	5205	10	1	1	39.46407096	-91.68243396	NA
5206	5206	4	2	1	39.393248	-88.163216	NA
5208	5208	11	2	1	40.12487104	-90.36914203	NA
5209	5209	6	2	1	38.699066	-90.068054	NA
5213	5213	12	1	1	40.57469501	-89.65567603	NA
5216	5216	2	1	2	41.06360497	-83.78943597	NA
5219	5219	2	1	1	41.03727398	-83.81345096	NA
5220	5220	8	1	1	38.65643696	-90.73639403	NA
5221	5221	15	1	1	41.31732501	-86.746256	NA
5222	5222	14	1	2	41.16467102	-87.81988903	NA
5223	5223	5	2	1	38.732444	-89.277403	NA
5225	5225	16	1	2	38.988681	-95.215847	NA
5227	5227	7	2	2	38.66890403	-90.63545798	NA
5233	5233	11	2	2	40.17519498	-90.26269396	NA
5234	5234	8	1	2	38.6589929	-90.7440433	NA
5238	5238	16	1	2	38.988681	-95.215847	NA
5239	5239	5	2	2	38.755485	-89.272475	NA
5242	5242	5	2	2	38.755485	-89.272475	NA
5244	5244	16	2	2	38.988681	-95.215847	NA
5247	5247	15	2	2	41.35604002	-86.73699299	NA
5249	5249	7	1	2	38.66890403	-90.63545798	NA
5258	5258	6	2	2	38.670222	-90.065665	NA
5261	5261	4	1	2	39.305104	-88.139778	NA
5262	5262	13	1	2	40.82949003	-88.66930699	NA
5264	5264	17	1	2	38.782048	-95.171401	NA
5268	5268	15	1	2	41.35604002	-86.73699299	NA
5270	5270	8	1	2	38.6589929	-90.7440433	NA
5271	5271	16	2	2	38.988681	-95.215847	NA
5277	5277	13	2	1	40.87326997	-88.62446599	NA
5284	5284	6	1	1	38.699066	-90.068054	NA
5285	5285	14	2	2	41.16467102	-87.81988903	NA
5287	5287	17	2	2	38.782048	-95.171401	NA
5294	5294	2	2	1	41.03727398	-83.81345096	NA
5296	5296	16	1	2	38.988681	-95.215847	NA
5300	5300	12	2	1	40.57469501	-89.65567603	NA
5312	5312	5	2	1	38.732444	-89.277403	NA
5316	5316	11	1	1	40.12487104	-90.36914203	NA
5317	5317	16	1	1	39.001464	-95.239938	NA
5320	5320	9	1	1	38.66783702	-91.55559699	NA
5321	5321	16	1	1	39.001464	-95.239938	NA
5323	5323	4	1	2	39.305104	-88.139778	NA
5325	5325	12	1	1	40.57469501	-89.65567603	NA
5326	5326	14	1	1	41.15132703	-87.89857297	NA
5329	5329	11	1	1	40.12487104	-90.36914203	NA
5330	5330	2	1	1	41.03727398	-83.81345096	NA
5333	5333	1	1	2	41.37218297	-83.79889	NA
5334	5334	11	1	1	40.12487104	-90.36914203	NA
5337	5337	1	1	1	41.55656599	-83.66247503	NA
5343	5343	7	1	1	38.558781	-90.447501	NA
5346	5346	4	1	2	39.305104	-88.139778	NA
5348	5348	12	2	1	40.57469501	-89.65567603	NA
5357	5357	4	2	2	39.305104	-88.139778	NA
5359	5359	3	2	2	39.01893298	-84.92674196	NA
5368	5368	9	2	1	38.66783702	-91.55559699	NA
5369	5369	16	2	1	39.001464	-95.239938	NA
5375	5375	4	2	1	39.393248	-88.163216	NA
5377	5377	7	2	1	38.558781	-90.447501	NA
5378	5378	5	1	1	38.732444	-89.277403	NA
5380	5380	11	1	2	40.17519498	-90.26269396	NA
5381	5381	6	2	2	38.670222	-90.065665	NA
5385	5385	4	1	1	39.393248	-88.163216	NA
5387	5387	9	2	2	38.63920603	-91.51230698	NA
5389	5389	2	2	1	41.03727398	-83.81345096	NA
5393	5393	4	1	2	39.305104	-88.139778	NA
5394	5394	7	1	2	38.66890403	-90.63545798	NA
5395	5395	7	1	1	38.558781	-90.447501	NA
5396	5396	4	1	1	39.393248	-88.163216	NA
5400	5400	9	1	2	38.63920603	-91.51230698	NA
P1_Ag_1_T	1	1	0	2	41.37218297	-83.79889	AT29_876
P1_Ag_10_T	10	1	0	2	41.37218297	-83.79889	AT18_571
P1_Ag_12_T	12	1	0	2	41.37218297	-83.79889	AT9_318
P1_Ag_14_T	14	1	0	2	41.37218297	-83.79889	AT11_424
P1_Ag_16_T	16	1	0	2	41.37218297	-83.79889	AT1_2
P1_Ag_17_T	17	1	0	2	41.37218297	-83.79889	AT8_314
P1_Ag_18_T	18	1	0	2	41.37218297	-83.79889	AT40_805
P1_Ag_19_T	19	1	0	2	41.37218297	-83.79889	AT1_5
P1_Ag_2_T	2	1	0	2	41.37218297	-83.79889	AT36_509
P1_Ag_3_T	3	1	0	2	41.37218297	-83.79889	AT25_781
P1_Ag_4_T	4	1	0	2	41.37218297	-83.79889	AT13_480
P1_Ag_5_T	5	1	0	2	41.37218297	-83.79889	AT36_514
P1_Ag_7_T	7	1	0	2	41.37218297	-83.79889	AT31_917
P1_Nat_10_T	10	1	0	1	41.55656599	-83.66247503	AT13_472
P1_Nat_11_T	11	1	0	1	41.55656599	-83.66247503	AT33_119
P1_Nat_12_T	12	1	0	1	41.55656599	-83.66247503	AT37_867
P1_Nat_18_T	18	1	0	1	41.55656599	-83.66247503	AT35_107
P1_Nat_3_T	3	1	0	1	41.55656599	-83.66247503	AT18_585
P1_Nat_4_T	4	1	0	1	41.55656599	-83.66247503	AT33_932
P1_Nat_5_T	5	1	0	1	41.55656599	-83.66247503	AT1_18
P1_Nat_6_T	6	1	0	1	41.55656599	-83.66247503	AT36_516
P1_Nat_8_T	8	1	0	1	41.55656599	-83.66247503	AT34_374
P1_Nat_9_T	9	1	0	1	41.55656599	-83.66247503	AT16_544
P10_Ag_11_T	11	10	0	2	39.463458	-91.98047097	AT32_953,labeled_P12_initially
P10_Ag_12_T	12	10	0	2	39.463458	-91.98047097	AT6_261,labeled_P12_initially
P10_Ag_14_T	14	10	0	2	39.463458	-91.98047097	AT40_872,labeled_P12_initially
P10_Ag_17_T	17	10	0	2	39.463458	-91.98047097	AT37_521,labeled_P12_initially
P10_Ag_4_T	4	10	0	2	39.463458	-91.98047097	AT11_414,labeled_P12_initially
P10_Ag_7_T	7	10	0	2	39.463458	-91.98047097	AT21_664,labeled_P12_initially
P10_Ag_8_T	8	10	0	2	39.463458	-91.98047097	AT37_669,labeled_P12_initially
P10_Ag_9_T	9	10	0	2	39.463458	-91.98047097	AT17_563,labeled_P12_initially
P10_Nat_1_T	10	10	0	1	39.46407096	-91.68243396	AT5_114,labeled_P12_initially
P10_Nat_10_T	10	10	0	1	39.46407096	-91.68243396	AT20_654,labeled_P12_initially
P10_Nat_11_T	11	10	0	1	39.46407096	-91.68243396	AT31_935,labeled_P12_initially
P10_Nat_12_T	12	10	0	1	39.46407096	-91.68243396	AT13_468,labeled_P12_initially
P10_Nat_14_T	14	10	0	1	39.46407096	-91.68243396	AT25_766,labeled_P12_initially,DROPPED_BC_WRONG_SPECIES
P10_Nat_15_T	15	10	0	1	39.46407096	-91.68243396	AT22_692,labeled_P12_initially
P10_Nat_16_T	16	10	0	1	39.46407096	-91.68243396	AT15_517,labeled_P12_initially
P10_Nat_17_T	17	10	0	1	39.46407096	-91.68243396	AT28_852,labeled_P12_initially
P10_Nat_2_T	2	10	0	1	39.46407096	-91.68243396	AT34_355,labeled_P12_initially
P10_Nat_6_T	6	10	0	1	39.46407096	-91.68243396	AT23_693,labeled_P12_initially
P10_Nat_7_T	7	10	0	1	39.46407096	-91.68243396	AT35_278,labeled_P12_initially
P10_Nat_8_T	8	10	0	1	39.46407096	-91.68243396	AT14_506,labeled_P12_initially
P11_Ag_11_T	11	11	0	2	40.17519498	-90.26269396	AT20_643
P11_Ag_14_T	14	11	0	2	40.17519498	-90.26269396	AT7_282
P11_Ag_15_T	15	11	0	2	40.17519498	-90.26269396	AT7_262
P11_Ag_4_T	4	11	0	2	40.17519498	-90.26269396	AT5_138
P11_Ag_6_T	6	11	0	2	40.17519498	-90.26269396	AT3_69
P11_Nat_1_T	1	11	0	1	40.12487104	-90.36914203	AT4_78
P11_Nat_11_T	11	11	0	1	40.12487104	-90.36914203	AT7_269
P11_Nat_12_T	12	11	0	1	40.12487104	-90.36914203	AT25_771
P11_Nat_13_T	13	11	0	1	40.12487104	-90.36914203	AT36_486
P11_Nat_14_T	14	11	0	1	40.12487104	-90.36914203	AT37_520
P11_Nat_3_T	3	11	0	1	40.12487104	-90.36914203	AT21_661
P11_Nat_4_T	4	11	0	1	40.12487104	-90.36914203	AT36_459
P11_Nat_5_T	5	11	0	1	40.12487104	-90.36914203	AT29_886
P11_Nat_6_T	6	11	0	1	40.12487104	-90.36914203	AT12_447
